anio_mes, region_id, sucursal_id, atributo1, nombre_atributo1, atributo2, nombre_atributo2, atributo3, nombre_atributo3
2017-04-01,9,1,4569,Afluencia,27,Núm. asesores,22.17,Promedio de asesores en atención
2017-04-01,9,2,2436,Afluencia,20,Núm. asesores,13.17,Promedio de asesores en atención
2017-04-01,9,3,9439,Afluencia,50,Núm. asesores,30.67,Promedio de asesores en atención
2017-04-01,9,4,5118,Afluencia,41,Núm. asesores,18.17,Promedio de asesores en atención
2017-04-01,9,5,4439,Afluencia,28,Núm. asesores,22.33,Promedio de asesores en atención
2017-04-01,9,6,9928,Afluencia,46,Núm. asesores,26.17,Promedio de asesores en atención
2017-04-01,9,7,9303,Afluencia,49,Núm. asesores,24.57,Promedio de asesores en atención
2017-04-01,9,8,3798,Afluencia,37,Núm. asesores,19.60,Promedio de asesores en atención
2017-04-01,9,10,4398,Afluencia,30,Núm. asesores,22.89,Promedio de asesores en atención
2017-04-01,9,11,7692,Afluencia,47,Núm. asesores,23.00,Promedio de asesores en atención
2017-04-01,9,12,519,Afluencia,4,Núm. asesores,3.00,Promedio de asesores en atención
2017-04-01,9,13,2772,Afluencia,25,Núm. asesores,19.72,Promedio de asesores en atención
2017-04-01,9,14,3782,Afluencia,24,Núm. asesores,19.22,Promedio de asesores en atención
2017-04-01,9,15,10639,Afluencia,42,Núm. asesores,25.23,Promedio de asesores en atención
2017-04-01,9,17,7951,Afluencia,29,Núm. asesores,17.27,Promedio de asesores en atención
2017-04-01,9,18,5179,Afluencia,41,Núm. asesores,28.00,Promedio de asesores en atención
2017-04-01,9,19,4802,Afluencia,26,Núm. asesores,22.72,Promedio de asesores en atención
2017-04-01,9,20,6965,Afluencia,38,Núm. asesores,22.20,Promedio de asesores en atención
2017-04-01,9,21,7045,Afluencia,34,Núm. asesores,19.60,Promedio de asesores en atención
2017-04-01,9,22,11063,Afluencia,48,Núm. asesores,27.80,Promedio de asesores en atención
2017-04-01,9,23,7373,Afluencia,41,Núm. asesores,23.03,Promedio de asesores en atención
2017-04-01,9,24,5612,Afluencia,28,Núm. asesores,16.43,Promedio de asesores en atención
2017-04-01,9,25,8170,Afluencia,37,Núm. asesores,30.78,Promedio de asesores en atención
2017-04-01,9,26,7704,Afluencia,30,Núm. asesores,17.30,Promedio de asesores en atención
2017-04-01,9,27,8341,Afluencia,38,Núm. asesores,31.72,Promedio de asesores en atención
2017-04-01,9,28,3949,Afluencia,36,Núm. asesores,17.03,Promedio de asesores en atención
2017-04-01,9,30,2738,Afluencia,22,Núm. asesores,16.06,Promedio de asesores en atención
2017-04-01,9,31,8287,Afluencia,47,Núm. asesores,27.60,Promedio de asesores en atención
2017-04-01,9,32,6166,Afluencia,32,Núm. asesores,27.50,Promedio de asesores en atención
2017-04-01,9,33,7738,Afluencia,43,Núm. asesores,22.43,Promedio de asesores en atención
2017-04-01,9,34,5647,Afluencia,31,Núm. asesores,17.57,Promedio de asesores en atención
2017-04-01,9,35,12657,Afluencia,68,Núm. asesores,37.80,Promedio de asesores en atención
2017-04-01,9,36,10107,Afluencia,52,Núm. asesores,31.47,Promedio de asesores en atención
2017-04-01,9,37,10888,Afluencia,45,Núm. asesores,27.03,Promedio de asesores en atención
2017-04-01,9,39,15873,Afluencia,71,Núm. asesores,37.57,Promedio de asesores en atención
2017-04-01,9,40,10807,Afluencia,43,Núm. asesores,25.47,Promedio de asesores en atención
2017-04-01,9,41,11023,Afluencia,45,Núm. asesores,26.70,Promedio de asesores en atención
2017-04-01,9,42,17600,Afluencia,78,Núm. asesores,44.13,Promedio de asesores en atención
2017-04-01,9,43,6058,Afluencia,31,Núm. asesores,17.60,Promedio de asesores en atención
2017-04-01,9,44,4248,Afluencia,24,Núm. asesores,13.73,Promedio de asesores en atención
2017-04-01,9,45,9884,Afluencia,60,Núm. asesores,35.17,Promedio de asesores en atención
2017-04-01,9,46,14686,Afluencia,72,Núm. asesores,40.43,Promedio de asesores en atención
2017-04-01,9,47,6129,Afluencia,37,Núm. asesores,19.93,Promedio de asesores en atención
2017-04-01,9,48,6030,Afluencia,32,Núm. asesores,17.80,Promedio de asesores en atención
2017-04-01,9,49,5397,Afluencia,35,Núm. asesores,21.10,Promedio de asesores en atención
2017-04-01,9,50,16941,Afluencia,64,Núm. asesores,38.27,Promedio de asesores en atención
